sample_name	amplicon	readsout
07M0698	BRCA2_MCPV2_50	1114
07M0698	BRCA2_MCPV2_51	1642
07M0698	BRCA2_MCPV2_52	1328
07M0698	BRCA2_MCPV2_53r_1	1173
07M0698	BRCA2_MCPV2_54r_1	1209
07M0698	BRCA2_MCPV2_55	886
07M0698	BRCA2_MCPV2_56	1474
07M0698	BRCA2_MCPV2_57	540
07M0698	BRCA2_MCPV2_58	1778
07M0698	BRCA2_MCPV2_59	1480
07M0698	BRCA2_MCPV2_60	1211
07M0698	BRCA2_MCPV2_61	1201
07M0698	BRCA2_MCPV2_62	1265
07M0698	BRCA2_MCPV2_63	1292
07M0698	BRCA2_MCPV2_64	1625
07M0698	BRCA2_MCPV2_65	1450
07M0698	BRCA2_MCPV2_66	1502
07M0698	BRCA2_MCPV2_67r_1	1448
07M0698	BRCA2_MCPV2_68	1067
07M0698	BRCA2_MCPV2_69	1521
07M0698	BRCA2_MCPV2_70r_1	1713
07M0698	BRCA2_MCPV2_71	1049
07M0698	BRCA2_MCPV2_72	1408
07M0698	BRCA2_MCPV2_73	1412
07M0698	BRCA2_MCPV2_74	1447
07M0698	BRCA2_MCPV2_75	1450
07M0698	BRCA2_MCPV2_76	1679
07M0698	BRCA2_MCPV2_77r_2	300
07M0698	BRCA2_MCPV2_78	471
07M0698	BRCA2_MCPV2_79	1409
07M0698	BRCA2_MCPV2_80	733
07M0698	BRCA2_MCPV2_81	1533
07M0698	BRCA2_MCPV2_82	1456
07M0698	BRCA2_MCPV2_83	1338
07M0698	BRCA2_MCPV2_84r_1	1211
07M0698	BRCA2_MCPV2_85	1662
07M0698	BRCA2_MCPV2_86	1171
07M0698	BRCA2_MCPV2_87r_1	1029
07M0698	BRCA2_MCPV2_88	1325
07M0698	BRCA2_MCPV2_89	1218
07M0698	BRCA2_MCPV2_90	461
07M0698	BRCA2_MCPV2_91	1368
07M0698	BRCA2_MCPV2_92	1493
07M0698	BRCA2_MCPV2_93	1343
07M0698	BRCA2_MCPV2_94	1149
07M0698	BRCA2_MCPV2_95	1685
07M0698	BRCA2_MCPV2_96r_1	1292
07M0698	BRCA2_MCPV2_97	1527
07M0698	BRCA2_MCPV2_98r_1	1151
07M0698	BRCA2_MCPV2_99	843
07M0698	BRCA2_MCPV2_100r_1	1122
07M0698	BRCA2_MCPV2_101	420
07M0698	BRCA2_MCPV2_102	1801
07M0698	BRCA2_MCPV2_103	995
07M0698	BRCA2_MCPV2_104	1143
07M0698	BRCA2_MCPV2_105	1332
07M0698	BRCA2_MCPV2_106	1623
07M0698	BRCA2_MCPV2_107	1844
07M0698	BRCA2_MCPV2_108	1630
07M0698	BRCA2_MCPV2_109	1513
07M0698	BRCA2_MCPV2_110	1341
07M0698	BRCA2_MCPV2_111	1662
07M0698	BRCA2_MCPV2_112r_1	2024
07M0698	BRCA2_MCPV2_113	1346
07M0698	BRCA2_MCPV2_114	2015
07M0698	BRCA2_MCPV2_115	2078
07M0698	BRCA2_MCPV2_116	1474
07M0698	BRCA2_MCPV2_117	1229
07M0698	BRCA2_MCPV2_118r_1	776
07M0698	BRCA2_MCPV2_119	862
07M0698	BRCA2_MCPV2_120	1380
07M0698	BRCA2_MCPV2_121	1150
07M0698	Off_target_13_BRCA1_18	2
07M0698	TP53_MCPV2_1	2320
07M0698	TP53_MCPV2_2r_1	2415
07M0698	TP53_MCPV2_3	1367
07M0698	TP53_MCPV2_4r_1	1674
07M0698	TP53_MCPV2_5r_1	1424
07M0698	TP53_MCPV2_6	1653
07M0698	TP53_MCPV2_8	1738
07M0698	TP53_MCPV2_9	1360
07M0698	TP53_MCPV2_10	1748
07M0698	TP53_MCPV2_11r_1	1079
07M0698	TP53_MCPV2_12	2127
07M0698	TP53_MCPV2_13	1649
07M0698	TP53_MCPV2_14	1420
07M0698	TP53_MCPV2_15	1447
07M0698	TP53_MCPV2_16	1328
07M0698	TP53_MCPV2_17	1094
07M0698	TP53_MCPV2_18	2796
07M0698	TP53_MCPV2_19	1136
07M0698	TP53_MCPV2_20	1179
07M0698	TP53_MCPV2_21	1445
07M0698	BRCA1_MCPV2_1	1056
07M0698	BRCA1_MCPV2_2	1663
07M0698	BRCA1_MCPV2_3	1688
07M0698	BRCA1_MCPV2_4	1656
07M0698	BRCA1_MCPV2_5	1140
07M0698	BRCA1_MCPV2_6	1752
07M0698	BRCA1_MCPV2_8	1288
07M0698	BRCA1_MCPV2_9	897
07M0698	BRCA1_MCPV2_10	1627
07M0698	BRCA1_MCPV2_11	1344
07M0698	BRCA1_MCPV2_12	1058
07M0698	BRCA1_MCPV2_13	1480
07M0698	BRCA1_MCPV2_14	1559
07M0698	BRCA1_MCPV2_15	1252
07M0698	BRCA1_MCPV2_16	1466
07M0698	BRCA1_MCPV2_17	890
07M0698	BRCA1_MCPV2_18	1278
07M0698	BRCA1_MCPV2_19	1622
07M0698	BRCA1_MCPV2_20	1419
07M0698	BRCA1_MCPV2_21	1571
07M0698	BRCA1_MCPV2_22	1444
07M0698	BRCA1_MCPV2_23	1595
07M0698	BRCA1_MCPV2_24	1182
07M0698	BRCA1_MCPV2_25	1369
07M0698	BRCA1_MCPV2_26	1431
07M0698	BRCA1_MCPV2_27	1045
07M0698	BRCA1_MCPV2_28	1406
07M0698	BRCA1_MCPV2_29	1259
07M0698	BRCA1_MCPV2_30	1184
07M0698	BRCA1_MCPV2_31	1310
07M0698	BRCA1_MCPV2_32	878
07M0698	BRCA1_MCPV2_33	1463
07M0698	BRCA1_MCPV2_34	1339
07M0698	BRCA1_MCPV2_35	1480
07M0698	BRCA1_MCPV2_36	1664
07M0698	BRCA1_MCPV2_37	1617
07M0698	BRCA1_MCPV2_38	1376
07M0698	BRCA1_MCPV2_39	1702
07M0698	BRCA1_MCPV2_40	1708
07M0698	BRCA1_MCPV2_41	507
07M0698	BRCA1_MCPV2_42	1523
07M0698	BRCA1_MCPV2_43	1134
07M0698	BRCA1_MCPV2_44	1240
07M0698	BRCA1_MCPV2_45r_1	1256
07M0698	BRCA1_MCPV2_46	1680
07M0698	BRCA1_MCPV2_47	1491
07M0698	BRCA1_MCPV2_48	1694
07M0698	BRCA1_MCPV2_49	1465
07M0698	BRCA1_MCPV2_50	1813
07M0698	BRCA1_MCPV2_51	1879
07M0698	BRCA1_MCPV2_52	1897
07M0698	BRCA1_MCPV2_53	1593
07M0698	BRCA1_MCPV2_54	1613
07M0698	BRCA1_MCPV2_55	1399
07M0698	BRCA1_MCPV2_56r_1	493
07M0698	BRCA1_MCPV2_57	2797
07M0698	BRCA1_MCPV2_58	1183
07M0698	BRCA1_MCPV2_59	1562
07M0698	BRCA1_MCPV2_60	1355
07M0698	BRCA1_MCPV2_61	1109
07M0698	BRCA1_MCPV2_62r_2	1955
07M0698	BRCA1_MCPV2_62r_2_2	695
07M0698	BRCA1_MCPV2_64	1338
07M0698	BRCA1_MCPV2_66r_1	1495
07M0698	Off_target_BRCA1_66r1	1078
07M0698	Off_target_20_BRCA1_18	0
16M5994	Off_target_2_BRCA1_18	0
16M5994	Off_target_6_BRCA1_18	0
16M5994	Off_target_9_PTEN_9_5	358
16M5994	Off_target_9_PTEN_5_2	345
16M5994	PTEN_1_1	1394
16M5994	PTEN_1_2	1411
16M5994	PTEN_2_1	715
16M5994	PTEN_2_2	1390
16M5994	PTEN_3_1	760
16M5994	PTEN_4_1	995
16M5994	PTEN_4_2	1451
16M5994	PTEN_5_1	1316
16M5994	PTEN_5_2	1035
16M5994	PTEN_5_3	1518
16M5994	PTEN_6_1	1428
16M5994	PTEN_6_2	1147
16M5994	PTEN_6_3r_1	1543
16M5994	PTEN_7_1	1136
16M5994	PTEN_7_2	1268
16M5994	PTEN_7_3	1890
16M5994	PTEN_8_1	1227
16M5994	PTEN_8_2	1349
16M5994	PTEN_8_3	1582
16M5994	PTEN_9_2	941
16M5994	PTEN_9_3	881
16M5994	PTEN_9_4	1766
16M5994	PTEN_9_5	807
16M5994	BRCA2_MCPV2_1	1072
16M5994	BRCA2_MCPV2_2	1359
16M5994	BRCA2_MCPV2_3	1427
16M5994	BRCA2_MCPV2_4	1496
16M5994	BRCA2_MCPV2_5	1117
16M5994	BRCA2_MCPV2_6r_2	590
16M5994	BRCA2_MCPV2_7	1746
16M5994	BRCA2_MCPV2_8	1173
16M5994	BRCA2_MCPV2_9	1850
16M5994	BRCA2_MCPV2_10	1784
16M5994	BRCA2_MCPV2_11	1119
16M5994	BRCA2_MCPV2_12	568
16M5994	BRCA2_MCPV2_13	1190
16M5994	BRCA2_MCPV2_14	1118
16M5994	BRCA2_MCPV2_15	1393
16M5994	BRCA2_MCPV2_16	1274
16M5994	BRCA2_MCPV2_17	1769
16M5994	BRCA2_MCPV2_18	1223
16M5994	BRCA2_MCPV2_19	1090
16M5994	BRCA2_MCPV2_20	1203
16M5994	BRCA2_MCPV2_21	1358
16M5994	BRCA2_MCPV2_22	1139
16M5994	BRCA2_MCPV2_23	1218
16M5994	BRCA2_MCPV2_24r_1	1200
16M5994	BRCA2_MCPV2_25	851
16M5994	BRCA2_MCPV2_26	1579
16M5994	BRCA2_MCPV2_27	1242
16M5994	BRCA2_MCPV2_28	1121
16M5994	BRCA2_MCPV2_29	1186
16M5994	BRCA2_MCPV2_30	1184
16M5994	BRCA2_MCPV2_31	1294
16M5994	BRCA2_MCPV2_32	1268
16M5994	BRCA2_MCPV2_33	1342
16M5994	BRCA2_MCPV2_34	1095
16M5994	BRCA2_MCPV2_35	1375
16M5994	BRCA2_MCPV2_36	1535
16M5994	BRCA2_MCPV2_37r_1	637
16M5994	BRCA2_MCPV2_38	1379
16M5994	BRCA2_MCPV2_39	1508
16M5994	BRCA2_MCPV2_40	1239
16M5994	BRCA2_MCPV2_41	866
16M5994	BRCA2_MCPV2_42	942
16M5994	BRCA2_MCPV2_43	1374
16M5994	BRCA2_MCPV2_44	1148
16M5994	BRCA2_MCPV2_45r_1	1009
16M5994	BRCA2_MCPV2_46	975
16M5994	BRCA2_MCPV2_46a	683
16M5994	BRCA2_MCPV2_47	607
16M5994	BRCA2_MCPV2_48	1598
16M5994	BRCA2_MCPV2_49	1423
16M5994	BRCA2_MCPV2_50	951
16M5994	BRCA2_MCPV2_51	1362
16M5994	BRCA2_MCPV2_52	1126
16M5994	BRCA2_MCPV2_53r_1	989
16M5994	BRCA2_MCPV2_54r_1	1178
16M5994	BRCA2_MCPV2_55	727
16M5994	BRCA2_MCPV2_56	1406
16M5994	BRCA2_MCPV2_57	520
16M5994	BRCA2_MCPV2_58	1567
16M5994	BRCA2_MCPV2_59	1586
16M5994	BRCA2_MCPV2_60	1131
16M5994	BRCA2_MCPV2_61	1085
16M5994	BRCA2_MCPV2_62	1137
16M5994	BRCA2_MCPV2_63	1236
16M5994	BRCA2_MCPV2_64	1445
16M5994	BRCA2_MCPV2_65	1339
16M5994	BRCA2_MCPV2_66	1245
16M5994	BRCA2_MCPV2_67r_1	1320
16M5994	BRCA2_MCPV2_68	969
16M5994	BRCA2_MCPV2_69	1338
16M5994	BRCA2_MCPV2_70r_1	1424
16M5994	BRCA2_MCPV2_71	861
16M5994	BRCA2_MCPV2_72	1250
16M5994	BRCA2_MCPV2_73	1270
16M5994	BRCA2_MCPV2_74	1358
16M5994	BRCA2_MCPV2_75	1382
16M5994	BRCA2_MCPV2_76	1591
16M5994	BRCA2_MCPV2_77r_2	326
16M5994	BRCA2_MCPV2_78	370
16M5994	BRCA2_MCPV2_79	1292
16M5994	BRCA2_MCPV2_80	667
16M5994	BRCA2_MCPV2_81	1407
16M5994	BRCA2_MCPV2_82	1328
16M5994	BRCA2_MCPV2_83	1086
16M5994	BRCA2_MCPV2_84r_1	1166
16M5994	BRCA2_MCPV2_85	1373
16M5994	BRCA2_MCPV2_86	1113
16M5994	BRCA2_MCPV2_87r_1	881
16M5994	BRCA2_MCPV2_88	1243
16M5994	BRCA2_MCPV2_89	1175
16M5994	BRCA2_MCPV2_90	405
16M5994	BRCA2_MCPV2_91	1130
16M5994	BRCA2_MCPV2_92	1449
16M5994	BRCA2_MCPV2_93	1355
16M5994	BRCA2_MCPV2_94	1038
16M5994	BRCA2_MCPV2_95	1402
16M5994	BRCA2_MCPV2_96r_1	1285
16M5994	BRCA2_MCPV2_97	1250
16M5994	BRCA2_MCPV2_98r_1	1029
16M5994	BRCA2_MCPV2_99	768
16M5994	BRCA2_MCPV2_100r_1	990
16M5994	BRCA2_MCPV2_101	428
16M5994	BRCA2_MCPV2_102	1610
16M5994	BRCA2_MCPV2_103	902
16M5994	BRCA2_MCPV2_104	1049
16M5994	BRCA2_MCPV2_105	1261
16M5994	BRCA2_MCPV2_106	1309
16M5994	BRCA2_MCPV2_107	1574
16M5994	BRCA2_MCPV2_108	1604
16M5994	BRCA2_MCPV2_109	1342
16M5994	BRCA2_MCPV2_110	1091
16M5994	BRCA2_MCPV2_111	1564
16M5994	BRCA2_MCPV2_112r_1	2016
16M5994	BRCA2_MCPV2_113	1070
16M5994	BRCA2_MCPV2_114	1916
16M5994	BRCA2_MCPV2_115	2058
16M5994	BRCA2_MCPV2_116	1267
16M5994	BRCA2_MCPV2_117	1165
16M5994	BRCA2_MCPV2_118r_1	627
16M5994	BRCA2_MCPV2_119	826
16M5994	BRCA2_MCPV2_120	1180
16M5994	BRCA2_MCPV2_121	1093
16M5994	Off_target_13_BRCA1_18	3
16M5994	TP53_MCPV2_1	1857
16M5994	TP53_MCPV2_2r_1	2006
16M5994	TP53_MCPV2_3	1262
16M5994	TP53_MCPV2_4r_1	1440
16M5994	TP53_MCPV2_5r_1	1340
16M5994	TP53_MCPV2_6	1670
16M5994	TP53_MCPV2_8	1535
16M5994	TP53_MCPV2_9	1204
16M5994	TP53_MCPV2_10	1513
16M5994	TP53_MCPV2_11r_1	1043
16M5994	TP53_MCPV2_12	1781
16M5994	TP53_MCPV2_13	1182
16M5994	TP53_MCPV2_14	1179
16M5994	TP53_MCPV2_15	1262
16M5994	TP53_MCPV2_16	1043
16M5994	TP53_MCPV2_17	989
16M5994	TP53_MCPV2_18	2188
16M5994	TP53_MCPV2_19	936
16M5994	TP53_MCPV2_20	973
16M5994	TP53_MCPV2_21	1314
16M5994	BRCA1_MCPV2_1	893
16M5994	BRCA1_MCPV2_2	1424
16M5994	BRCA1_MCPV2_3	1384
16M5994	BRCA1_MCPV2_4	1420
16M5994	BRCA1_MCPV2_5	1326
16M5994	BRCA1_MCPV2_6	1592
16M5994	BRCA1_MCPV2_8	1507
16M5994	BRCA1_MCPV2_9	838
16M5994	BRCA1_MCPV2_10	1524
16M5994	BRCA1_MCPV2_11	1167
16M5994	BRCA1_MCPV2_12	988
16M5994	BRCA1_MCPV2_13	1253
16M5994	BRCA1_MCPV2_14	1336
16M5994	BRCA1_MCPV2_15	969
16M5994	BRCA1_MCPV2_16	1233
16M5994	BRCA1_MCPV2_17	752
16M5994	BRCA1_MCPV2_18	1220
16M5994	BRCA1_MCPV2_19	1326
16M5994	BRCA1_MCPV2_20	1202
16M5994	BRCA1_MCPV2_21	1563
16M5994	BRCA1_MCPV2_22	1240
16M5994	BRCA1_MCPV2_23	1264
16M5994	BRCA1_MCPV2_24	1028
16M5994	BRCA1_MCPV2_25	1192
16M5994	BRCA1_MCPV2_26	1331
16M5994	BRCA1_MCPV2_27	817
16M5994	BRCA1_MCPV2_28	1262
16M5994	BRCA1_MCPV2_29	1076
16M5994	BRCA1_MCPV2_30	967
16M5994	BRCA1_MCPV2_31	1172
16M5994	BRCA1_MCPV2_32	922
16M5994	BRCA1_MCPV2_33	1400
16M5994	BRCA1_MCPV2_34	1173
16M5994	BRCA1_MCPV2_35	1354
16M5994	BRCA1_MCPV2_36	1440
16M5994	BRCA1_MCPV2_37	1401
16M5994	BRCA1_MCPV2_38	1248
16M5994	BRCA1_MCPV2_39	1587
16M5994	BRCA1_MCPV2_40	1421
16M5994	BRCA1_MCPV2_41	474
16M5994	BRCA1_MCPV2_42	1334
16M5994	BRCA1_MCPV2_43	1057
16M5994	BRCA1_MCPV2_44	1339
16M5994	BRCA1_MCPV2_45r_1	1041
16M5994	BRCA1_MCPV2_46	1521
16M5994	BRCA1_MCPV2_47	1283
16M5994	BRCA1_MCPV2_48	1489
16M5994	BRCA1_MCPV2_49	1316
16M5994	BRCA1_MCPV2_50	1586
16M5994	BRCA1_MCPV2_51	1589
16M5994	BRCA1_MCPV2_52	1558
16M5994	BRCA1_MCPV2_53	1349
16M5994	BRCA1_MCPV2_54	1510
16M5994	BRCA1_MCPV2_55	1253
16M5994	BRCA1_MCPV2_56r_1	461
16M5994	BRCA1_MCPV2_57	2593
16M5994	BRCA1_MCPV2_58	1013
16M5994	BRCA1_MCPV2_59	1291
16M5994	BRCA1_MCPV2_60	1117
16M5994	BRCA1_MCPV2_61	966
16M5994	BRCA1_MCPV2_62r_2	1955
16M5994	BRCA1_MCPV2_62r_2_2	725
16M5994	BRCA1_MCPV2_64	1257
16M5994	BRCA1_MCPV2_66r_1	1050
16M5994	Off_target_BRCA1_66r1	1077
16M5994	Off_target_20_BRCA1_18	0
16M6017	Off_target_2_BRCA1_18	0
16M6017	Off_target_6_BRCA1_18	0
16M6017	Off_target_9_PTEN_9_5	177
16M6017	Off_target_9_PTEN_5_2	454
16M6017	PTEN_1_1	1496
16M6017	PTEN_1_2	1511
16M6017	PTEN_2_1	816
16M6017	PTEN_2_2	1594
16M6017	PTEN_3_1	905
16M6017	PTEN_4_1	1347
16M6017	PTEN_4_2	1674
16M6017	PTEN_5_1	1674
16M6017	PTEN_5_2	1324
16M6017	PTEN_5_3	1680
16M6017	PTEN_6_1	1680
16M6017	PTEN_6_2	1389
16M6017	PTEN_6_3r_1	1759
16M6017	PTEN_7_1	1260
16M6017	PTEN_7_2	1502
16M6017	PTEN_7_3	2093
16M6017	PTEN_8_1	1515
16M6017	PTEN_8_2	1634
16M6017	PTEN_8_3	1606
16M6017	PTEN_9_2	1368
16M6017	PTEN_9_3	1043
16M6017	PTEN_9_4	2151
16M6017	PTEN_9_5	1177
16M6017	BRCA2_MCPV2_1	1239
16M6017	BRCA2_MCPV2_2	1469
16M6017	BRCA2_MCPV2_3	1575
16M6017	BRCA2_MCPV2_4	1805
16M6017	BRCA2_MCPV2_5	1326
16M6017	BRCA2_MCPV2_6r_2	680
16M6017	BRCA2_MCPV2_7	1922
16M6017	BRCA2_MCPV2_8	1190
16M6017	BRCA2_MCPV2_9	2186
16M6017	BRCA2_MCPV2_10	2302
16M6017	BRCA2_MCPV2_11	1149
16M6017	BRCA2_MCPV2_12	683
16M6017	BRCA2_MCPV2_13	1239
16M6017	BRCA2_MCPV2_14	1151
16M6017	BRCA2_MCPV2_15	1760
16M6017	BRCA2_MCPV2_16	1677
16M6017	BRCA2_MCPV2_17	2168
16M6017	BRCA2_MCPV2_18	1490
16M6017	BRCA2_MCPV2_19	1442
16M6017	BRCA2_MCPV2_20	1398
16M6017	BRCA2_MCPV2_21	1558
16M6017	BRCA2_MCPV2_22	1275
16M6017	BRCA2_MCPV2_23	1428
16M6017	BRCA2_MCPV2_24r_1	1453
16M6017	BRCA2_MCPV2_25	997
16M6017	BRCA2_MCPV2_26	1855
16M6017	BRCA2_MCPV2_27	1524
16M6017	BRCA2_MCPV2_28	1280
16M6017	BRCA2_MCPV2_29	1393
16M6017	BRCA2_MCPV2_30	1406
16M6017	BRCA2_MCPV2_31	1375
16M6017	BRCA2_MCPV2_32	1648
16M6017	BRCA2_MCPV2_33	1570
16M6017	BRCA2_MCPV2_34	1481
16M6017	BRCA2_MCPV2_35	1710
16M6017	BRCA2_MCPV2_36	1933
16M6017	BRCA2_MCPV2_37r_1	794
16M6017	BRCA2_MCPV2_38	1551
16M6017	BRCA2_MCPV2_39	1502
16M6017	BRCA2_MCPV2_40	1703
16M6017	BRCA2_MCPV2_41	1060
16M6017	BRCA2_MCPV2_42	997
16M6017	BRCA2_MCPV2_43	1718
16M6017	BRCA2_MCPV2_44	1229
16M6017	BRCA2_MCPV2_45r_1	1152
16M6017	BRCA2_MCPV2_46	1058
16M6017	BRCA2_MCPV2_46a	839
16M6017	BRCA2_MCPV2_47	752
16M6017	BRCA2_MCPV2_48	1926
16M6017	BRCA2_MCPV2_49	1712
16M6017	BRCA2_MCPV2_50	1136
16M6017	BRCA2_MCPV2_51	1548
16M6017	BRCA2_MCPV2_52	1417
16M6017	BRCA2_MCPV2_53r_1	1228
16M6017	BRCA2_MCPV2_54r_1	1355
16M6017	BRCA2_MCPV2_55	835
16M6017	BRCA2_MCPV2_56	1744
16M6017	BRCA2_MCPV2_57	607
16M6017	BRCA2_MCPV2_58	1908
16M6017	BRCA2_MCPV2_59	1616
16M6017	BRCA2_MCPV2_60	1386
16M6017	BRCA2_MCPV2_61	1353
16M6017	BRCA2_MCPV2_62	1222
16M6017	BRCA2_MCPV2_63	1352
16M6017	BRCA2_MCPV2_64	1706
16M6017	BRCA2_MCPV2_65	1596
16M6017	BRCA2_MCPV2_66	1439
16M6017	BRCA2_MCPV2_67r_1	1402
16M6017	BRCA2_MCPV2_68	1131
16M6017	BRCA2_MCPV2_69	1497
16M6017	BRCA2_MCPV2_70r_1	1782
16M6017	BRCA2_MCPV2_71	1089
16M6017	BRCA2_MCPV2_72	1539
16M6017	BRCA2_MCPV2_73	1390
16M6017	BRCA2_MCPV2_74	1607
16M6017	BRCA2_MCPV2_75	1586
16M6017	BRCA2_MCPV2_76	1911
16M6017	BRCA2_MCPV2_77r_2	345
16M6017	BRCA2_MCPV2_78	449
16M6017	BRCA2_MCPV2_79	1614
16M6017	BRCA2_MCPV2_80	761
16M6017	BRCA2_MCPV2_81	1551
16M6017	BRCA2_MCPV2_82	1640
16M6017	BRCA2_MCPV2_83	1282
16M6017	BRCA2_MCPV2_84r_1	1316
16M6017	BRCA2_MCPV2_85	2002
16M6017	BRCA2_MCPV2_86	1190
16M6017	BRCA2_MCPV2_87r_1	1079
16M6017	BRCA2_MCPV2_88	1219
16M6017	BRCA2_MCPV2_89	1555
16M6017	BRCA2_MCPV2_90	426
16M6017	BRCA2_MCPV2_91	1297
16M6017	BRCA2_MCPV2_92	1353
16M6017	BRCA2_MCPV2_93	1462
16M6017	BRCA2_MCPV2_94	1232
16M6017	BRCA2_MCPV2_95	2012
16M6017	BRCA2_MCPV2_96r_1	1413
16M6017	BRCA2_MCPV2_97	1304
16M6017	BRCA2_MCPV2_98r_1	1126
16M6017	BRCA2_MCPV2_99	858
16M6017	BRCA2_MCPV2_100r_1	1118
16M6017	BRCA2_MCPV2_101	482
16M6017	BRCA2_MCPV2_102	1704
16M6017	BRCA2_MCPV2_103	1054
16M6017	BRCA2_MCPV2_104	1206
16M6017	BRCA2_MCPV2_105	1443
16M6017	BRCA2_MCPV2_106	1683
16M6017	BRCA2_MCPV2_107	2032
16M6017	BRCA2_MCPV2_108	1610
16M6017	BRCA2_MCPV2_109	1497
16M6017	BRCA2_MCPV2_110	1194
16M6017	BRCA2_MCPV2_111	1721
16M6017	BRCA2_MCPV2_112r_1	2356
16M6017	BRCA2_MCPV2_113	1314
16M6017	BRCA2_MCPV2_114	2348
16M6017	BRCA2_MCPV2_115	2364
16M6017	BRCA2_MCPV2_116	1632
16M6017	BRCA2_MCPV2_117	1408
16M6017	BRCA2_MCPV2_118r_1	847
16M6017	BRCA2_MCPV2_119	959
16M6017	BRCA2_MCPV2_120	1332
16M6017	BRCA2_MCPV2_121	1240
16M6017	Off_target_13_BRCA1_18	2
16M6017	TP53_MCPV2_1	2442
16M6017	TP53_MCPV2_2r_1	2051
16M6017	TP53_MCPV2_3	1278
16M6017	TP53_MCPV2_4r_1	1508
16M6017	TP53_MCPV2_5r_1	1666
16M6017	TP53_MCPV2_6	1917
16M6017	TP53_MCPV2_8	1805
16M6017	TP53_MCPV2_9	1456
16M6017	TP53_MCPV2_10	1681
16M6017	TP53_MCPV2_11r_1	1084
16M6017	TP53_MCPV2_12	2449
16M6017	TP53_MCPV2_13	1543
16M6017	TP53_MCPV2_14	1286
16M6017	TP53_MCPV2_15	1489
16M6017	TP53_MCPV2_16	1201
16M6017	TP53_MCPV2_17	1160
16M6017	TP53_MCPV2_18	2464
16M6017	TP53_MCPV2_19	1129
16M6017	TP53_MCPV2_20	1181
16M6017	TP53_MCPV2_21	1411
16M6017	BRCA1_MCPV2_1	1002
16M6017	BRCA1_MCPV2_2	1649
16M6017	BRCA1_MCPV2_3	1652
16M6017	BRCA1_MCPV2_4	1973
16M6017	BRCA1_MCPV2_5	1032
16M6017	BRCA1_MCPV2_6	1926
16M6017	BRCA1_MCPV2_8	1441
