datestamp	timestamp	runtime	type	seqrun	sample	stage	elapsed	description	attributes
160822	11:44:54.54	0.046	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [41:16M5555]	[type:STAGE_STARTED, desc:Starting stage mp_branch [41:16M5555], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.046	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [33:16M5497]	[type:STAGE_STARTED, desc:Starting stage mp_branch [33:16M5497], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.047	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [34:16M5502]	[type:STAGE_STARTED, desc:Starting stage mp_branch [34:16M5502], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.047	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [19:16M5447]	[type:STAGE_STARTED, desc:Starting stage mp_branch [19:16M5447], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.047	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [14:16M5414]	[type:STAGE_STARTED, desc:Starting stage mp_branch [14:16M5414], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.047	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [37:16M5521]	[type:STAGE_STARTED, desc:Starting stage mp_branch [37:16M5521], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.047	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [0:11M3036]	[type:STAGE_STARTED, desc:Starting stage mp_branch [0:11M3036], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.047	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [46:NTC1]	[type:STAGE_STARTED, desc:Starting stage mp_branch [46:NTC1], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.047	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [8:16M4894]	[type:STAGE_STARTED, desc:Starting stage mp_branch [8:16M4894], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.047	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M5491	mp_branch	0.002	Finished stage mp_branch [30:16M5491]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [30:16M5491], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5491, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.002]
160822	11:44:54.54	0.047	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [5:15M8233]	[type:STAGE_STARTED, desc:Starting stage mp_branch [5:15M8233], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.047	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [12:16M5229]	[type:STAGE_STARTED, desc:Starting stage mp_branch [12:16M5229], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.047	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M5486	mp_branch	0.002	Finished stage mp_branch [26:16M5486]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [26:16M5486], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5486, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.002]
160822	11:44:54.54	0.047	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M5484	mp_branch	0.002	Finished stage mp_branch [25:16M5484]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [25:16M5484], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5484, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.002]
160822	11:44:54.54	0.048	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [38:16M5537]	[type:STAGE_STARTED, desc:Starting stage mp_branch [38:16M5537], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.048	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [4:14K3092]	[type:STAGE_STARTED, desc:Starting stage mp_branch [4:14K3092], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.048	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M5511	mp_branch	0.002	Finished stage mp_branch [35:16M5511]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [35:16M5511], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5511, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.002]
160822	11:44:54.54	0.048	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	13M2137	mp_branch	0.002	Finished stage mp_branch [3:13M2137]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [3:13M2137], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:13M2137, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.002]
160822	11:44:54.54	0.048	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [9:16M5039]	[type:STAGE_STARTED, desc:Starting stage mp_branch [9:16M5039], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.048	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [1:12M2120]	[type:STAGE_STARTED, desc:Starting stage mp_branch [1:12M2120], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.048	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [21:16M5465]	[type:STAGE_STARTED, desc:Starting stage mp_branch [21:16M5465], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.048	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [10:16M5040]	[type:STAGE_STARTED, desc:Starting stage mp_branch [10:16M5040], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.048	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M5502	mp_branch	0.002	Finished stage mp_branch [34:16M5502]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [34:16M5502], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5502, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.002]
160822	11:44:54.54	0.049	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [28:16M5489]	[type:STAGE_STARTED, desc:Starting stage mp_branch [28:16M5489], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.049	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [24:16M5478]	[type:STAGE_STARTED, desc:Starting stage mp_branch [24:16M5478], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.049	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [22:16M5470]	[type:STAGE_STARTED, desc:Starting stage mp_branch [22:16M5470], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.049	STAGE_STARTED	160728_M00139_0032_000000000-ATRUV	16M5511	mp_checkFasta	null	Starting stage mp_checkFasta [35:16M5511]	[type:STAGE_STARTED, desc:Starting stage mp_checkFasta [35:16M5511], stage:mp_checkFasta, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5511]
160822	11:44:54.54	0.049	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M5039	mp_branch	0.002	Finished stage mp_branch [9:16M5039]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [9:16M5039], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5039, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.002]
160822	11:44:54.54	0.049	STAGE_STARTED	160728_M00139_0032_000000000-ATRUV	16M5491	mp_checkFasta	null	Starting stage mp_checkFasta [30:16M5491]	[type:STAGE_STARTED, desc:Starting stage mp_checkFasta [30:16M5491], stage:mp_checkFasta, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5491]
160822	11:44:54.54	0.049	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	15M8233	mp_branch	0.002	Finished stage mp_branch [5:15M8233]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [5:15M8233], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:15M8233, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.002]
160822	11:44:54.54	0.049	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M5478	mp_branch	0.002	Finished stage mp_branch [24:16M5478]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [24:16M5478], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5478, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.002]
160822	11:44:54.54	0.049	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	14K3092	mp_branch	0.001	Finished stage mp_branch [4:14K3092]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [4:14K3092], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:14K3092, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.001]
160822	11:44:54.54	0.050	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	NTC1	mp_branch	0.001	Finished stage mp_branch [46:NTC1]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [46:NTC1], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:NTC1, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.001]
160822	11:44:54.54	0.050	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M4894	mp_branch	0.001	Finished stage mp_branch [8:16M4894]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [8:16M4894], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M4894, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.001]
160822	11:44:54.54	0.050	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M5537	mp_branch	0.002	Finished stage mp_branch [38:16M5537]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [38:16M5537], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5537, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.002]
160822	11:44:54.54	0.050	STAGE_STARTED	160728_M00139_0032_000000000-ATRUV	16M5486	mp_checkFasta	null	Starting stage mp_checkFasta [26:16M5486]	[type:STAGE_STARTED, desc:Starting stage mp_checkFasta [26:16M5486], stage:mp_checkFasta, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5486]
160822	11:44:54.54	0.050	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M5521	mp_branch	0.001	Finished stage mp_branch [37:16M5521]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [37:16M5521], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5521, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.001]
160822	11:44:54.54	0.050	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M5447	mp_branch	0.003	Finished stage mp_branch [19:16M5447]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [19:16M5447], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5447, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.003]
160822	11:44:54.54	0.051	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M5497	mp_branch	0.002	Finished stage mp_branch [33:16M5497]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [33:16M5497], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5497, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.002]
160822	11:44:54.54	0.051	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	11M3036	mp_branch	0.002	Finished stage mp_branch [0:11M3036]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [0:11M3036], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:11M3036, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.002]
160822	11:44:54.54	0.051	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [42:16M5560]	[type:STAGE_STARTED, desc:Starting stage mp_branch [42:16M5560], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.051	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M5555	mp_branch	0.002	Finished stage mp_branch [41:16M5555]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [41:16M5555], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5555, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.002]
160822	11:44:54.54	0.051	STAGE_STARTED	160728_M00139_0032_000000000-ATRUV	16M5447	mp_checkFasta	null	Starting stage mp_checkFasta [19:16M5447]	[type:STAGE_STARTED, desc:Starting stage mp_checkFasta [19:16M5447], stage:mp_checkFasta, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5447]
160822	11:44:54.54	0.051	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M5413	mp_branch	0.002	Finished stage mp_branch [13:16M5413]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [13:16M5413], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5413, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.002]
160822	11:44:54.54	0.051	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M5446	mp_branch	0.002	Finished stage mp_branch [18:16M5446]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [18:16M5446], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5446, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.002]
160822	11:44:54.54	0.051	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [45:NA12878]	[type:STAGE_STARTED, desc:Starting stage mp_branch [45:NA12878], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.051	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M3144	mp_branch	0.003	Finished stage mp_branch [6:16M3144]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [6:16M3144], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M3144, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.003]
160822	11:44:54.54	0.051	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M5518	mp_branch	0.002	Finished stage mp_branch [36:16M5518]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [36:16M5518], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5518, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.002]
160822	11:44:54.54	0.051	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [27:16M5487]	[type:STAGE_STARTED, desc:Starting stage mp_branch [27:16M5487], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.051	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [43:16M5563]	[type:STAGE_STARTED, desc:Starting stage mp_branch [43:16M5563], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.052	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [47:NTC2]	[type:STAGE_STARTED, desc:Starting stage mp_branch [47:NTC2], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.052	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [2:12M5024]	[type:STAGE_STARTED, desc:Starting stage mp_branch [2:12M5024], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.052	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M5448	mp_branch	0.003	Finished stage mp_branch [20:16M5448]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [20:16M5448], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5448, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.003]
160822	11:44:54.54	0.052	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M5487	mp_branch	0.002	Finished stage mp_branch [27:16M5487]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [27:16M5487], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5487, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.002]
160822	11:44:54.54	0.052	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M5414	mp_branch	0.002	Finished stage mp_branch [14:16M5414]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [14:16M5414], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5414, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.002]
160822	11:44:54.54	0.052	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	12M5024	mp_branch	0.002	Finished stage mp_branch [2:12M5024]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [2:12M5024], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:12M5024, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.002]
160822	11:44:54.54	0.052	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [31:16M5492]	[type:STAGE_STARTED, desc:Starting stage mp_branch [31:16M5492], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.052	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [15:16M5443]	[type:STAGE_STARTED, desc:Starting stage mp_branch [15:16M5443], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.052	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [7:16M3404]	[type:STAGE_STARTED, desc:Starting stage mp_branch [7:16M3404], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.052	STAGE_STARTED	160728_M00139_0032_000000000-ATRUV	16M5474	mp_checkFasta	null	Starting stage mp_checkFasta [23:16M5474]	[type:STAGE_STARTED, desc:Starting stage mp_checkFasta [23:16M5474], stage:mp_checkFasta, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5474]
160822	11:44:54.54	0.052	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [44:16M5564]	[type:STAGE_STARTED, desc:Starting stage mp_branch [44:16M5564], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.052	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [32:16M5493]	[type:STAGE_STARTED, desc:Starting stage mp_branch [32:16M5493], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.052	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [17:16M5445]	[type:STAGE_STARTED, desc:Starting stage mp_branch [17:16M5445], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.052	STAGE_STARTED	null	null	mp_branch	null	Starting stage mp_branch [40:16M5550]	[type:STAGE_STARTED, desc:Starting stage mp_branch [40:16M5550], stage:mp_branch, branch_sr:null, branch_ss:null]
160822	11:44:54.54	0.053	STAGE_COMPLETED	160728_M00139_0032_000000000-ATRUV	16M5228	mp_branch	0.002	Finished stage mp_branch [11:16M5228]	[type:STAGE_COMPLETED, desc:Finished stage mp_branch [11:16M5228], stage:mp_branch, title:Initialise branch parameters, author:Jason Li, stgdesc:Initialise a bpipe branch with parameters about the sample, branch_sr:160728_M00139_0032_000000000-ATRUV, branch_ss:16M5228, start:Mon Aug 22 11:44:54 AEST 2016, end:Mon Aug 22 11:44:54 AEST 2016, elapsed:0.002]
